Timestamp,Download Speed (Mbps),Upload Speed (Mbps)
2024-11-17 14:23:33,38.29,9.29
2024-11-17 14:59:37,34.92,9.38
2024-11-19 13:49:44,38.41,9.53
2024-11-19 13:55:07,39.10,10.00
2024-11-19 14:00:27,39.98,10.09
2024-11-19 14:05:48,40.11,10.23
2024-11-19 14:11:09,42.53,2.66
2024-11-19 14:16:30,45.53,9.82
